ADOPTIONNUMBER,ANIMALID,OWNERID,RETAILERID,MOVEMENTDATE,RETURNDATE,RETURNEDREASONID,RETURNEDBYOWNERID
2375,806,976,3,10/5/15,None,13,0
2380,543,977,0,10/6/15,None,13,0
2383,762,978,0,10/7/15,None,13,0
2385,707,979,0,10/8/15,None,13,0
2411,391,989,0,10/15/15,11/7/15,4,0
2412,390,989,0,10/15/15,11/7/15,4,0
2393,608,980,0,10/10/15,None,13,0
1822,530,780,0,5/18/15,10/10/15,4,0
2397,760,983,0,10/11/15,None,13,0
2403,841,986,3,10/13/15,None,13,0
2398,814,984,0,10/11/15,None,13,0
2399,813,984,0,10/11/15,None,13,0
2400,807,985,0,10/11/15,None,13,0
2401,821,985,0,10/11/15,None,13,0
2402,69,75,0,10/10/15,None,13,0
2409,737,938,0,10/15/15,None,13,0
2410,796,988,0,10/15/15,None,13,0
2413,824,990,0,10/15/15,None,13,0
2414,839,991,3,10/16/15,None,13,0
2415,838,991,3,10/16/15,None,13,0
2424,815,997,0,10/17/15,None,13,0
2444,844,998,3,10/18/15,None,13,0
3403,1185,1315,3,5/19/16,None,13,0
15416,8547,10754,0,1/11/20,None,13,0
2457,828,1001,0,10/21/15,None,13,0
2463,808,1003,3,10/22/15,None,13,0
2464,611,1004,0,10/23/15,None,13,0
2619,929,1055,0,11/30/15,None,13,0
2473,843,1007,0,10/25/15,None,13,0
2470,827,1005,0,10/24/15,None,13,0
2490,897,1010,0,7/20/09,10/28/15,5,0
2493,772,618,3,10/28/15,None,13,0
2291,804,936,0,2/16/13,10/22/15,5,0
2498,873,1012,0,10/29/15,None,13,0
2492,874,1011,0,10/28/15,None,13,0
2499,816,1013,3,10/29/15,None,13,0
2500,870,1014,0,10/29/15,None,13,0
2501,717,1015,0,10/29/15,None,13,0
2504,609,1016,0,10/31/15,None,13,0
4057,1438,1610,0,9/19/16,None,13,0
2506,869,1017,0,11/1/15,None,13,0
2507,847,1018,0,11/1/15,None,13,0
2508,812,1019,3,11/1/15,None,13,0
2509,809,1003,0,11/1/15,None,13,0
2510,384,333,0,11/2/15,None,13,0
2512,854,1020,0,11/3/15,None,13,0
2514,899,207,0,11/3/15,None,13,0
2522,867,1021,0,11/5/15,None,13,0
2524,901,1022,0,11/7/15,None,13,0
2525,851,1023,0,11/8/15,None,13,0
2526,882,1024,0,11/8/15,None,13,0
2620,911,1055,0,11/30/15,None,13,0
2544,877,1029,0,11/11/15,None,13,0
2532,846,1027,0,11/11/15,None,13,0
2538,811,1030,3,11/12/15,None,13,0
2540,856,1032,0,11/12/15,None,13,0
2545,878,1029,0,11/11/15,None,13,0
2546,876,1029,0,11/11/15,None,13,0
2547,898,1033,0,11/14/15,None,13,0
2549,853,1034,0,11/14/15,None,13,0
2550,845,1035,0,11/14/15,None,13,0
2551,887,1036,0,11/14/15,None,13,0
2552,823,1037,3,11/14/15,None,13,0
10966,5457,7605,0,12/2/18,3/16/19,4,7605
2553,836,1038,3,11/14/15,None,13,0
2555,855,1039,0,11/15/15,None,13,0
2565,881,1042,0,11/17/15,11/23/15,4,0
2556,897,1040,0,11/15/15,None,13,0
2557,573,1040,0,11/15/15,None,13,0
